Member_number,Date,itemDescription,Quality
4864,27-03-2015,bottled beer,1
4812,27-05-2015,beverages,1
3042,05-10-2015,other vegetables,1
4988,04-10-2015,canned beer,1
4486,21-07-2015,canned beer,1
4069,03-05-2015,rolls/buns,1
4600,14-07-2015,beef,1
3588,05-05-2015,citrus fruit,1
4175,29-01-2015,rolls/buns,1
2599,30-07-2015,specialty chocolate,1
4671,15-07-2015,frankfurter,1
2270,09-06-2015,whole milk,1
2494,05-05-2015,pip fruit,1
1406,28-12-2015,tropical fruit,1
3910,18-12-2015,liver loaf,1
3358,21-02-2015,citrus fruit,1
1943,14-01-2015,frankfurter,1
1995,12-06-2015,soft cheese,1
4666,24-02-2015,ham,1
1994,11-03-2015,whole milk,1
4892,09-01-2015,other vegetables,1
3531,29-08-2015,sausage,1
1148,15-04-2015,yogurt,1
1787,31-10-2015,frozen meals,1
4215,31-05-2015,pork,1
2158,01-08-2015,rolls/buns,1
2510,29-09-2015,margarine,1
3180,19-10-2015,root vegetables,1
3207,08-08-2015,pip fruit,1
1226,12-11-2015,beef,1
1682,25-06-2015,pip fruit,1
1509,04-11-2015,chicken,1
2364,21-06-2015,whole milk,1
4679,10-11-2015,chicken,1
4324,05-01-2015,sausage,1
3497,14-06-2015,other vegetables,1
1008,21-07-2015,tropical fruit,1
4572,29-10-2015,sausage,1
4030,04-07-2015,chicken,1
2422,12-08-2015,hamburger meat,1
2694,24-11-2015,whole milk,1
3481,03-08-2015,citrus fruit,1
3821,03-01-2015,ham,1
3752,20-08-2015,whole milk,1
3262,08-12-2015,frankfurter,1
1370,28-06-2015,white bread,1
1090,31-08-2015,sausage,1
3862,18-11-2015,sliced cheese,1
4495,08-04-2015,frankfurter,1
2492,01-11-2015,yogurt,1
4688,01-08-2015,root vegetables,1
3633,14-07-2015,rolls/buns,1
3709,08-08-2015,berries,1
1220,09-02-2015,rolls/buns,1
4236,25-11-2015,beef,1
3308,19-08-2015,chicken,1
1183,12-06-2015,sausage,1
1999,24-08-2015,rolls/buns,1
4828,11-10-2015,rolls/buns,1
3608,12-10-2015,sausage,1
3983,09-09-2015,butter milk,1
3460,24-07-2015,pork,1
1703,21-02-2015,pork,1
1969,23-07-2015,sausage,1
2646,03-06-2015,soda,1
1777,22-04-2015,tropical fruit,1
4967,06-08-2015,pip fruit,1
4291,29-07-2015,citrus fruit,1
2267,11-11-2015,semi-finished bread,1
3579,02-06-2015,sausage,1
3959,05-10-2015,tropical fruit,1
2271,20-11-2015,whole milk,1
3621,09-04-2015,berries,1
3491,11-06-2015,ham,1
1542,28-04-2015,curd,1
4098,09-01-2015,soda,1
4117,11-08-2015,pot plants,1
3289,31-03-2015,yogurt,1
1883,05-11-2015,meat,1
3659,21-06-2015,citrus fruit,1
1364,20-06-2015,root vegetables,1
3184,04-09-2015,whole milk,1
3113,05-03-2015,coffee,1
1135,29-04-2015,whole milk,1
1394,14-02-2015,whole milk,1
2381,13-01-2015,sausage,1
4110,28-11-2015,whole milk,1
4043,21-01-2015,frankfurter,1
3491,06-06-2015,fruit/vegetable juice,1
2044,16-12-2015,meat,1
4191,28-04-2015,other vegetables,1
1312,18-05-2015,frankfurter,1
2191,10-11-2015,specialty cheese,1
1032,23-08-2015,yogurt,1
3790,28-10-2015,chicken,1
3588,19-08-2015,whole milk,1
4598,18-03-2015,curd,1
3394,15-06-2015,pastry,1
2202,24-06-2015,frankfurter,1
2431,18-07-2015,chicken,1
4207,17-03-2015,frozen dessert,1
2580,24-10-2015,tropical fruit,1
4825,09-06-2015,tropical fruit,1
4368,12-10-2015,sausage,1
4852,17-06-2015,whole milk,1
1595,20-06-2015,finished products,1
1678,14-09-2015,pork,1
4667,07-05-2015,beef,1
2631,27-09-2015,sausage,1
1623,01-03-2015,citrus fruit,1
1784,26-05-2015,pip fruit,1
2379,19-09-2015,soda,1
4361,27-01-2015,other vegetables,1
3419,25-07-2015,tropical fruit,1
1286,12-08-2015,whole milk,1
1236,11-05-2015,whole milk,1
3585,06-03-2015,ham,1
4773,09-11-2015,tropical fruit,1
4114,05-04-2015,canned beer,1
4700,16-03-2015,ham,1
4120,01-12-2015,chicken,1
3416,07-07-2015,grapes,1
1038,02-04-2015,whole milk,1
3267,18-01-2015,frankfurter,1
3402,06-01-2015,curd,1
3013,21-08-2015,bottled beer,1
4807,27-01-2015,beef,1
2172,02-03-2015,citrus fruit,1
1388,03-04-2015,UHT-milk,1
3309,21-01-2015,salty snack,1
2194,05-06-2015,canned beer,1
4603,21-01-2015,pork,1
1631,05-02-2015,domestic eggs,1
2712,11-09-2015,other vegetables,1
2757,28-04-2015,beef,1
4761,08-09-2015,sausage,1
2688,22-11-2015,dish cleaner,1
2458,23-08-2015,frankfurter,1
4087,26-08-2015,frankfurter,1
4677,15-10-2015,frankfurter,1
3250,12-04-2015,tropical fruit,1
3488,19-08-2015,frankfurter,1
1679,24-06-2015,other vegetables,1
4820,23-07-2015,whole milk,1
2079,16-05-2015,soda,1
2460,27-10-2015,chicken,1
4286,06-06-2015,other vegetables,1
3050,10-08-2015,whole milk,1
2888,05-09-2015,sausage,1
2376,28-05-2015,sausage,1
4748,23-03-2015,pork,1
2311,06-06-2015,bottled water,1
4765,05-07-2015,butter milk,1
4199,04-08-2015,soda,1
2592,20-03-2015,chicken,1
1403,15-05-2015,frankfurter,1
4031,03-01-2015,frankfurter,1
1416,04-03-2015,sausage,1
4022,24-04-2015,chicken,1
3674,22-03-2015,beverages,1
3430,16-04-2015,fruit/vegetable juice,1
1113,29-03-2015,pork,1
4178,22-01-2015,frankfurter,1
4037,09-05-2015,soda,1
3917,13-09-2015,whipped/sour cream,1
4658,14-07-2015,sausage,1
1408,23-07-2015,root vegetables,1
4940,17-04-2015,liquor,1
1639,10-10-2015,frankfurter,1
4139,26-11-2015,coffee,1
2799,17-06-2015,butter,1
4041,16-10-2015,soda,1
3508,07-02-2015,seasonal products,1
1584,11-03-2015,frankfurter,1
4006,02-07-2015,canned beer,1
4593,07-04-2015,other vegetables,1
4875,22-08-2015,pastry,1
2534,09-08-2015,pet care,1
2413,13-12-2015,baking powder,1
1909,10-01-2015,sausage,1
4367,15-11-2015,sugar,1
4240,28-10-2015,pet care,1
1866,08-11-2015,pet care,1
3905,19-06-2015,berries,1
4906,16-09-2015,tropical fruit,1
4478,04-12-2015,soda,1
2765,22-07-2015,beef,1
4178,13-11-2015,tropical fruit,1
4330,22-06-2015,finished products,1
1659,25-03-2015,chewing gum,1
2406,24-10-2015,curd,1
3465,15-01-2015,chicken,1
3178,22-10-2015,bottled beer,1
2218,02-07-2015,herbs,1
3980,09-04-2015,yogurt,1
2519,14-03-2015,sausage,1
2568,09-10-2015,sausage,1
1130,15-01-2015,tropical fruit,1
1231,20-05-2015,white wine,1
2654,22-09-2015,frankfurter,1
3913,21-03-2015,canned beer,1
3276,23-02-2015,chicken,1
4094,30-03-2015,turkey,1
3997,19-07-2015,curd cheese,1
2313,18-02-2015,berries,1
2716,10-09-2015,tropical fruit,1
3923,27-01-2015,frankfurter,1
4541,18-04-2015,coffee,1
4524,26-08-2015,whole milk,1
1750,08-02-2015,onions,1
1527,30-12-2015,domestic eggs,1
1379,01-07-2015,other vegetables,1
2380,09-10-2015,hamburger meat,1
3259,02-09-2015,sausage,1
3268,13-07-2015,citrus fruit,1
3117,03-03-2015,pork,1
1972,02-06-2015,pork,1
1154,06-04-2015,root vegetables,1
2408,25-03-2015,sausage,1
2400,22-03-2015,bottled beer,1
1286,08-03-2015,herbs,1
3505,21-07-2015,soda,1
4503,19-12-2015,tropical fruit,1
4292,27-03-2015,sausage,1
4906,30-09-2015,soda,1
2745,08-04-2015,tropical fruit,1
4682,17-05-2015,sausage,1
2553,01-02-2015,whole milk,1
3985,18-02-2015,beverages,1
2741,28-09-2015,liver loaf,1
2642,01-04-2015,frankfurter,1
1873,14-02-2015,yogurt,1
3738,15-07-2015,other vegetables,1
2042,17-11-2015,yogurt,1
4669,27-05-2015,whole milk,1
2045,16-08-2015,pork,1
3450,03-10-2015,berries,1
2225,12-03-2015,berries,1
2290,10-09-2015,other vegetables,1
4494,02-11-2015,chicken,1
3539,24-01-2015,root vegetables,1
1002,26-04-2015,tropical fruit,1
3222,05-08-2015,citrus fruit,1
1711,22-11-2015,frankfurter,1
2436,24-11-2015,misc. beverages,1
2888,20-12-2015,pip fruit,1
4665,26-02-2015,sausage,1
2977,03-01-2015,rolls/buns,1
3052,04-07-2015,citrus fruit,1
4943,28-07-2015,sausage,1
1323,03-11-2015,syrup,1
1604,04-11-2015,pip fruit,1
2794,12-09-2015,whole milk,1
2253,21-07-2015,frankfurter,1
2873,03-09-2015,other vegetables,1
2707,22-06-2015,bottled water,1
2718,25-01-2015,whole milk,1
3711,08-07-2015,whole milk,1
2960,17-02-2015,finished products,1
1702,14-01-2015,whole milk,1
4347,07-03-2015,pork,1
2913,04-07-2015,chocolate marshmallow,1
3893,15-04-2015,root vegetables,1
1950,23-10-2015,sausage,1
3205,20-03-2015,sausage,1
1943,24-03-2015,bottled water,1
3604,18-05-2015,frankfurter,1
2048,16-12-2015,pork,1
2176,08-08-2015,frozen meals,1
2659,15-06-2015,tropical fruit,1
3841,01-02-2015,ham,1
1077,12-09-2015,tropical fruit,1
2403,28-11-2015,whole milk,1
3324,24-08-2015,whole milk,1
4976,11-07-2015,misc. beverages,1
3894,06-11-2015,finished products,1
3718,18-10-2015,berries,1
3652,18-09-2015,other vegetables,1
4867,03-01-2015,berries,1
1845,28-05-2015,onions,1
2233,28-08-2015,yogurt,1
1958,03-07-2015,berries,1
1535,14-01-2015,shopping bags,1
2187,16-08-2015,whole milk,1
4557,19-10-2015,turkey,1
1482,21-02-2015,pip fruit,1
4614,07-06-2015,pip fruit,1
1341,16-09-2015,other vegetables,1
4768,13-03-2015,hamburger meat,1
3683,04-12-2015,pork,1
3471,29-05-2015,pastry,1
4698,25-10-2015,newspapers,1
4134,28-11-2015,canned beer,1
1357,28-07-2015,ham,1
2617,22-05-2015,whole milk,1
2834,26-12-2015,beef,1
1921,25-10-2015,pip fruit,1
1248,25-08-2015,beef,1
3945,04-10-2015,seasonal products,1
2265,29-07-2015,other vegetables,1
1046,18-06-2015,whole milk,1
1484,24-02-2015,root vegetables,1
3355,18-10-2015,pork,1
4563,16-05-2015,pork,1
4255,15-08-2015,newspapers,1
3741,21-11-2015,rolls/buns,1
2990,12-08-2015,beef,1
1655,20-11-2015,sausage,1
1878,22-02-2015,brown bread,1
3877,11-01-2015,pork,1
3370,12-11-2015,root vegetables,1
3084,19-04-2015,hamburger meat,1
1472,06-07-2015,root vegetables,1
3160,22-01-2015,chewing gum,1
1854,26-07-2015,other vegetables,1
4113,19-07-2015,tropical fruit,1
1551,11-08-2015,frankfurter,1
3195,30-01-2015,canned beer,1
1170,01-12-2015,chicken,1
2653,07-12-2015,whole milk,1
3494,04-07-2015,citrus fruit,1
4787,25-05-2015,pork,1
2008,21-10-2015,whole milk,1
3692,20-02-2015,hamburger meat,1
1016,23-04-2015,soft cheese,1
4667,23-02-2015,sausage,1
4191,10-05-2015,pork,1
2015,12-05-2015,pork,1
3002,19-02-2015,tropical fruit,1
4068,10-01-2015,frankfurter,1
4432,25-09-2015,canned beer,1
3406,17-05-2015,sausage,1
1844,10-02-2015,root vegetables,1
4793,24-02-2015,soda,1
3363,18-05-2015,canned beer,1
2160,06-10-2015,bottled beer,1
1448,19-03-2015,pork,1
1346,08-05-2015,pip fruit,1
3863,13-06-2015,brown bread,1
4611,08-03-2015,other vegetables,1
1368,15-07-2015,beef,1
1808,04-02-2015,long life bakery product,1
4589,08-12-2015,sausage,1
2814,21-10-2015,onions,1
4848,23-06-2015,pork,1
3454,17-12-2015,frankfurter,1
1118,27-07-2015,ham,1
1863,11-02-2015,tropical fruit,1
3154,05-01-2015,rolls/buns,1
3251,26-12-2015,frankfurter,1
4964,30-11-2015,whole milk,1
4537,20-12-2015,other vegetables,1
2063,27-11-2015,root vegetables,1
4873,27-04-2015,rolls/buns,1
1841,10-05-2015,pip fruit,1
4420,25-02-2015,rolls/buns,1
3593,27-08-2015,frankfurter,1
4123,14-12-2015,frankfurter,1
4571,05-04-2015,citrus fruit,1
4503,26-11-2015,pastry,1
4526,18-01-2015,other vegetables,1
2241,18-10-2015,ham,1
3694,17-12-2015,cat food,1
4988,20-12-2015,pork,1
4327,26-04-2015,citrus fruit,1
2061,15-12-2015,sausage,1
3345,30-09-2015,soda,1
1937,19-01-2015,citrus fruit,1
2055,08-11-2015,other vegetables,1
4362,08-05-2015,ham,1
4716,01-03-2015,sausage,1
4657,14-01-2015,sausage,1
3281,16-06-2015,sausage,1
3252,15-02-2015,sausage,1
4410,05-10-2015,hygiene articles,1
4396,12-06-2015,beef,1
3683,05-12-2015,canned beer,1
2493,07-08-2015,onions,1
1788,15-04-2015,sausage,1
1846,18-05-2015,sausage,1
4685,04-11-2015,yogurt,1
2237,09-02-2015,chicken,1
3755,28-09-2015,beef,1
1280,12-08-2015,UHT-milk,1
4019,06-08-2015,pork,1
4875,03-10-2015,tropical fruit,1
3552,02-09-2015,canned vegetables,1
3134,07-06-2015,tropical fruit,1
4797,04-07-2015,sausage,1
1443,04-03-2015,frankfurter,1
2171,31-03-2015,rolls/buns,1
4153,27-05-2015,pickled vegetables,1
2476,05-05-2015,citrus fruit,1
1550,14-05-2015,potato products,1
1885,25-12-2015,turkey,1
2592,01-10-2015,sausage,1
4607,17-11-2015,white wine,1
3600,26-11-2015,hamburger meat,1
2848,15-11-2015,chicken,1
4160,19-04-2015,turkey,1
2800,02-02-2015,dessert,1
4882,31-10-2015,tropical fruit,1
1908,10-06-2015,beef,1
2045,07-12-2015,pork,1
4728,15-02-2015,white bread,1
4680,22-08-2015,root vegetables,1
4780,05-04-2015,frankfurter,1
1107,06-05-2015,citrus fruit,1
3329,21-02-2015,rolls/buns,1
4122,24-04-2015,tropical fruit,1
2690,04-11-2015,cream cheese ,1
2186,14-02-2015,sausage,1
4871,15-11-2015,turkey,1
1608,21-02-2015,frankfurter,1
1116,23-07-2015,chicken,1
1566,19-11-2015,tropical fruit,1
3629,13-04-2015,chicken,1
1835,01-04-2015,root vegetables,1
1853,03-02-2015,chicken,1
1880,15-09-2015,bottled beer,1
2476,04-12-2015,ketchup,1
1349,10-05-2015,canned beer,1
3284,28-01-2015,tropical fruit,1
1660,26-07-2015,beef,1
1866,15-02-2015,whole milk,1
1678,23-08-2015,bottled water,1
2327,04-08-2015,pork,1
4710,09-05-2015,pork,1
4563,27-06-2015,pip fruit,1
4555,31-03-2015,specialty chocolate,1
4160,12-06-2015,citrus fruit,1
2006,08-12-2015,frankfurter,1
3120,12-06-2015,sausage,1
3750,28-02-2015,root vegetables,1
4985,26-12-2015,root vegetables,1
2108,11-08-2015,tropical fruit,1
2072,19-02-2015,pip fruit,1
2391,27-06-2015,sausage,1
1047,04-01-2015,curd,1
2464,19-07-2015,beef,1
2029,08-07-2015,frankfurter,1
3704,22-01-2015,root vegetables,1
1807,18-12-2015,frankfurter,1
2337,15-08-2015,hamburger meat,1
4614,24-10-2015,vinegar,1
4105,29-05-2015,tropical fruit,1
2600,12-05-2015,pip fruit,1
4335,12-10-2015,citrus fruit,1
4582,13-11-2015,fruit/vegetable juice,1
3306,29-12-2015,frankfurter,1
4789,11-09-2015,whole milk,1
4744,20-01-2015,hamburger meat,1
3029,31-05-2015,long life bakery product,1
1144,28-01-2015,soda,1
2273,27-11-2015,hamburger meat,1
1475,17-12-2015,frankfurter,1
1173,22-10-2015,hard cheese,1
2148,19-07-2015,newspapers,1
3334,03-05-2015,chicken,1
2200,10-10-2015,soft cheese,1
3973,02-09-2015,pip fruit,1
2695,04-07-2015,tropical fruit,1
3053,25-12-2015,hamburger meat,1
2964,11-08-2015,finished products,1
2494,13-06-2015,pot plants,1
1603,07-09-2015,whole milk,1
1264,07-12-2015,tropical fruit,1
2809,10-04-2015,whole milk,1
3180,15-09-2015,bottled beer,1
4539,09-03-2015,whole milk,1
2990,29-06-2015,frankfurter,1
1969,11-02-2015,citrus fruit,1
1191,08-08-2015,hamburger meat,1
2690,20-10-2015,cream,1
3803,20-10-2015,sausage,1
3999,19-04-2015,yogurt,1
3677,30-11-2015,sausage,1
1168,11-02-2015,bottled beer,1
1324,27-12-2015,misc. beverages,1
3829,10-07-2015,pickled vegetables,1
2664,20-09-2015,chicken,1
3002,22-01-2015,chicken,1
4305,23-06-2015,herbs,1
2633,14-02-2015,frankfurter,1
1120,14-01-2015,soda,1
2870,25-02-2015,white bread,1
2977,16-11-2015,chicken,1
2135,25-01-2015,beef,1
4460,12-07-2015,root vegetables,1
2961,21-07-2015,soda,1
2109,24-09-2015,yogurt,1
1023,28-06-2015,white bread,1
2645,26-06-2015,syrup,1
2910,04-12-2015,whole milk,1
3251,09-11-2015,salt,1
2309,29-12-2015,whole milk,1
2553,21-06-2015,other vegetables,1
4100,22-04-2015,sausage,1
2580,17-11-2015,other vegetables,1
4628,10-12-2015,fish,1
1073,08-06-2015,pip fruit,1
1459,18-07-2015,citrus fruit,1
3752,21-08-2015,dishes,1
4655,21-03-2015,meat,1
2484,20-06-2015,pork,1
4990,15-03-2015,sausage,1
2356,02-02-2015,pip fruit,1
3476,21-04-2015,bottled water,1
4643,25-01-2015,whole milk,1
3287,02-02-2015,onions,1
3468,14-11-2015,liver loaf,1
2779,27-12-2015,meat,1
3811,11-05-2015,root vegetables,1
3122,13-10-2015,citrus fruit,1
2874,22-01-2015,soda,1
3148,28-03-2015,bottled beer,1
4359,24-09-2015,dessert,1
4510,26-03-2015,bottled beer,1
3298,28-04-2015,roll products ,1
3285,12-07-2015,sausage,1
4752,11-02-2015,yogurt,1
4741,25-02-2015,chicken,1
3557,24-05-2015,meat,1
4328,21-07-2015,citrus fruit,1
1052,06-07-2015,butter milk,1
1719,17-09-2015,nuts/prunes,1
1360,05-02-2015,root vegetables,1
1299,03-06-2015,bottled beer,1
4260,16-11-2015,chicken,1
1785,15-07-2015,butter,1
3835,06-01-2015,tropical fruit,1
1720,05-12-2015,root vegetables,1
1872,05-04-2015,tropical fruit,1
1406,23-03-2015,sausage,1
3560,29-09-2015,bottled water,1
4628,29-11-2015,salty snack,1
2692,09-10-2015,beef,1
4843,13-05-2015,whole milk,1
4395,25-06-2015,ham,1
1196,27-11-2015,mayonnaise,1
1076,14-05-2015,frankfurter,1
3519,28-01-2015,hamburger meat,1
1335,18-10-2015,whipped/sour cream,1
4988,29-10-2015,candles,1
4437,20-10-2015,beverages,1
2262,04-10-2015,tropical fruit,1
4320,07-01-2015,yogurt,1
1155,01-04-2015,whole milk,1
3101,17-12-2015,sausage,1
2433,19-10-2015,bottled water,1
2051,14-11-2015,canned beer,1
3144,16-08-2015,tropical fruit,1
2000,23-08-2015,bottled beer,1
2427,26-06-2015,pork,1
2916,13-06-2015,salty snack,1
1609,17-12-2015,rolls/buns,1
2982,25-06-2015,citrus fruit,1
1804,30-11-2015,sausage,1
4997,27-12-2015,tropical fruit,1
2789,28-01-2015,whole milk,1
2512,23-04-2015,canned beer,1
2641,01-03-2015,whole milk,1
2102,10-05-2015,rolls/buns,1
2979,17-07-2015,sausage,1
3685,04-03-2015,tropical fruit,1
2918,11-10-2015,bottled beer,1
4640,31-01-2015,domestic eggs,1
1149,06-08-2015,soda,1
4608,05-01-2015,whole milk,1
3794,26-11-2015,tropical fruit,1
3014,04-11-2015,ham,1
2083,28-03-2015,brandy,1
1656,13-08-2015,hard cheese,1
1482,24-07-2015,bottled beer,1
3050,20-10-2015,other vegetables,1
3882,23-04-2015,finished products,1
2618,03-12-2015,misc. beverages,1
4888,13-02-2015,canned beer,1
2523,12-01-2015,yogurt,1
4633,14-04-2015,bottled water,1
2440,02-03-2015,tropical fruit,1
2100,05-07-2015,frankfurter,1
3691,12-02-2015,yogurt,1
4499,06-05-2015,bottled beer,1
2370,28-08-2015,tropical fruit,1
3831,14-10-2015,UHT-milk,1
4744,28-10-2015,citrus fruit,1
4919,12-03-2015,newspapers,1
4876,21-02-2015,soda,1
1296,20-08-2015,tropical fruit,1
4845,28-08-2015,bottled water,1
4606,13-03-2015,canned beer,1
1438,26-02-2015,onions,1
2777,24-05-2015,pastry,1
4220,10-08-2015,tropical fruit,1
1943,07-01-2015,hamburger meat,1
3535,01-09-2015,pip fruit,1
2194,09-01-2015,soda,1
2326,29-11-2015,pork,1
4189,07-04-2015,rolls/buns,1
1023,06-01-2015,whipped/sour cream,1
3886,01-04-2015,soda,1
1443,09-10-2015,butter,1
1395,26-06-2015,canned beer,1
1291,14-01-2015,tropical fruit,1
1374,10-03-2015,whole milk,1
4015,20-02-2015,yogurt,1
3009,18-02-2015,sausage,1
2961,16-11-2015,frankfurter,1
3260,08-07-2015,meat,1
1793,19-05-2015,canned beer,1
2985,05-01-2015,tropical fruit,1
1205,14-03-2015,yogurt,1
1116,08-10-2015,newspapers,1
1633,09-08-2015,condensed milk,1
3600,30-07-2015,pip fruit,1
4740,10-07-2015,coffee,1
2677,23-12-2015,sausage,1
1540,14-08-2015,whole milk,1
4323,26-03-2015,frankfurter,1
4320,18-04-2015,canned beer,1
1363,16-06-2015,whole milk,1
1761,09-08-2015,rolls/buns,1
1733,23-06-2015,pip fruit,1
1994,05-10-2015,canned beer,1
4300,04-04-2015,citrus fruit,1
4298,25-07-2015,butter,1
1097,01-11-2015,tropical fruit,1
3766,07-05-2015,citrus fruit,1
2348,28-02-2015,citrus fruit,1
4588,08-11-2015,butter,1
3784,14-06-2015,seasonal products,1
2787,05-03-2015,brown bread,1
2056,24-11-2015,newspapers,1
3986,25-07-2015,tropical fruit,1
3861,07-07-2015,rolls/buns,1
1094,07-01-2015,sausage,1
4743,24-01-2015,sausage,1
3543,02-06-2015,whole milk,1
4914,14-03-2015,pip fruit,1
2004,21-08-2015,yogurt,1
4171,03-06-2015,yogurt,1
3041,15-09-2015,sausage,1
1324,10-07-2015,citrus fruit,1
1524,06-08-2015,UHT-milk,1
4260,30-05-2015,sausage,1
1494,29-09-2015,whole milk,1
2521,03-03-2015,citrus fruit,1
2225,28-04-2015,pork,1
3486,23-12-2015,pip fruit,1
1422,28-02-2015,canned beer,1
3082,20-02-2015,canned beer,1
1114,12-03-2015,dog food,1
4773,31-10-2015,salty snack,1
1939,30-10-2015,root vegetables,1
2723,03-11-2015,meat,1
1361,08-09-2015,whole milk,1
2294,10-05-2015,rolls/buns,1
3915,05-03-2015,pork,1
3579,30-12-2015,other vegetables,1
2051,20-04-2015,whole milk,1
2113,07-09-2015,bottled water,1
1909,31-08-2015,sausage,1
2328,22-02-2015,beef,1
2948,19-06-2015,organic sausage,1
3504,20-05-2015,frozen meals,1
3069,09-04-2015,mustard,1
2142,19-05-2015,yogurt,1
4411,17-04-2015,meat,1
1993,08-07-2015,tropical fruit,1
4579,09-01-2015,pip fruit,1
1177,14-10-2015,rolls/buns,1
2499,24-04-2015,root vegetables,1
4427,14-01-2015,tropical fruit,1
2883,12-10-2015,whipped/sour cream,1
1242,04-12-2015,sausage,1
3409,11-12-2015,frankfurter,1
1307,22-06-2015,meat,1
3507,10-11-2015,whole milk,1
2606,26-01-2015,chicken,1
3048,06-06-2015,long life bakery product,1
2007,23-11-2015,cream cheese ,1
3072,26-01-2015,whole milk,1
3354,14-01-2015,citrus fruit,1
3656,11-03-2015,tropical fruit,1
4417,18-05-2015,sausage,1
3296,06-06-2015,whole milk,1
1323,30-04-2015,soups,1
1754,17-09-2015,citrus fruit,1
3872,03-11-2015,beef,1
3691,05-02-2015,canned beer,1
1218,29-12-2015,tropical fruit,1
1381,23-03-2015,beverages,1
4550,02-03-2015,canned beer,1
1377,06-02-2015,meat,1
4388,19-02-2015,cream cheese ,1
2157,14-07-2015,meat,1
3321,25-12-2015,sausage,1
3205,11-12-2015,frankfurter,1
4444,22-07-2015,sausage,1
2348,01-11-2015,whole milk,1
4275,18-08-2015,whole milk,1
3664,04-05-2015,frozen vegetables,1
1627,11-02-2015,root vegetables,1
1641,27-05-2015,pip fruit,1
1461,21-12-2015,bottled water,1
4266,17-06-2015,soda,1
2754,02-05-2015,liver loaf,1
3117,30-09-2015,citrus fruit,1
1654,29-04-2015,dish cleaner,1
1154,17-05-2015,citrus fruit,1
1333,22-09-2015,ham,1
2188,28-07-2015,hamburger meat,1
4679,16-05-2015,pork,1
2495,28-07-2015,nuts/prunes,1
4117,10-12-2015,canned beer,1
4035,12-01-2015,sausage,1
1500,06-01-2015,rolls/buns,1
4357,13-04-2015,sausage,1
1199,21-11-2015,rolls/buns,1
4467,22-11-2015,frozen vegetables,1
4220,21-11-2015,pip fruit,1
4376,16-07-2015,whole milk,1
4190,24-12-2015,frankfurter,1
4501,15-06-2015,other vegetables,1
1454,22-10-2015,white bread,1
3922,01-04-2015,citrus fruit,1
3586,02-05-2015,whole milk,1
2139,16-04-2015,frankfurter,1
2475,10-11-2015,beverages,1
3419,05-12-2015,red/blush wine,1
2518,03-07-2015,soda,1
1690,03-03-2015,sausage,1
1281,02-06-2015,finished products,1
2176,04-02-2015,pastry,1
2787,13-03-2015,specialty chocolate,1
3460,14-02-2015,tropical fruit,1
3224,19-01-2015,bottled beer,1
1540,26-11-2015,skin care,1
3942,04-04-2015,condensed milk,1
2939,03-08-2015,root vegetables,1
3807,26-10-2015,pip fruit,1
3380,16-05-2015,root vegetables,1
1785,07-06-2015,sausage,1
2625,06-03-2015,bottled beer,1
1828,24-03-2015,brown bread,1
4225,08-05-2015,hard cheese,1
1646,28-08-2015,soda,1
1412,16-11-2015,soda,1
1892,24-04-2015,whole milk,1
2535,10-11-2015,frankfurter,1
4107,15-11-2015,tropical fruit,1
1452,29-03-2015,liver loaf,1
4853,17-09-2015,yogurt,1
2196,23-08-2015,soda,1
1026,28-05-2015,root vegetables,1
3879,03-12-2015,hamburger meat,1
4967,23-09-2015,pip fruit,1
3408,05-11-2015,bottled beer,1
3732,26-01-2015,pip fruit,1
1040,26-11-2015,tropical fruit,1
2612,31-05-2015,dessert,1
1137,26-09-2015,whole milk,1
4223,15-06-2015,liver loaf,1
3832,17-07-2015,frankfurter,1
2179,16-04-2015,dessert,1
2604,12-02-2015,root vegetables,1
2238,20-03-2015,cream cheese ,1
2589,12-02-2015,canned beer,1
2402,06-09-2015,whole milk,1
4130,06-11-2015,rolls/buns,1
4841,17-12-2015,canned beer,1
1734,08-06-2015,sausage,1
3748,27-03-2015,canned beer,1
1021,22-10-2015,liquor,1
1104,04-01-2015,yogurt,1
2613,09-01-2015,soups,1
4204,16-10-2015,whole milk,1
2022,22-07-2015,sausage,1
2242,05-06-2015,rolls/buns,1
4352,20-07-2015,pork,1
1945,05-02-2015,curd,1
1427,26-11-2015,rolls/buns,1
3709,08-09-2015,frankfurter,1
1349,13-04-2015,bottled water,1
4691,08-01-2015,soda,1
1465,26-06-2015,meat,1
2867,16-07-2015,turkey,1
2381,17-05-2015,coffee,1
2471,13-08-2015,rolls/buns,1
3252,22-08-2015,citrus fruit,1
4077,18-03-2015,canned beer,1
2359,21-04-2015,pastry,1
4430,02-12-2015,frozen meals,1
3456,10-09-2015,whipped/sour cream,1
2563,03-06-2015,rolls/buns,1
2386,04-10-2015,soda,1
4909,26-10-2015,spread cheese,1
1014,03-10-2015,whole milk,1
1389,18-02-2015,root vegetables,1
4800,24-12-2015,frankfurter,1
1069,20-08-2015,bottled beer,1
1833,12-07-2015,soda,1
4028,08-07-2015,other vegetables,1
3919,09-02-2015,curd,1
3086,02-01-2015,pip fruit,1
2708,17-02-2015,instant coffee,1
3513,29-08-2015,frankfurter,1
3774,16-09-2015,beef,1
4827,27-01-2015,curd,1
4213,23-08-2015,hamburger meat,1
4536,24-02-2015,citrus fruit,1
1489,23-06-2015,rolls/buns,1
2005,22-09-2015,bottled beer,1
